"Author_name","PC","PY_start","PY_end","Pub_period","Author_count_avg","PC_annu","PY_first_start","PY_first_end","First_period","PC_first","PC_first_annu","Author_index","Author_color","OC","PY_off_start","PY_off_end","Off_period","PC_off","PC_off_annu","Family_degree_out","Family_degree_in","Family_index","Family_size","AG","PY_col_in_start","PY_col_in_end","Col_in_period","PC_col_in","PC_col_in_annu","R_PC_col_in_PC","R_PC_col_in_PC_annu","PY_col_out_start","PY_col_out_end","Col_out_period","PC_col_out","PC_col_out_annu","R_PC_col_out_PC_annu","R_PC_col_out_PC","PC_col_tot","degree_all","degree_out","degree_in","R_deg_in_out","PCxOCxCC","PCxOCxCC_norm"
"TRUCCO E",1,1967,1967,1,2,1,NA,NA,0,0,0,-24,"#97C483",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BRAHMACHARY RL",1,1967,1967,1,1,1,NA,NA,0,0,0,25,"#ACDF47",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BREATHNACH CS",1,1967,1967,1,1,1,NA,NA,0,0,0,-26,"#2FD69C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"KELLER EF",1,1967,1967,1,1,1,NA,NA,0,0,0,27,"#3DFFD0",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HOFFLER GW",1,1967,1967,1,1,1,NA,NA,0,0,0,-28,"#657DBC",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MCCLUSKEY ES",1,1967,1967,1,1,1,NA,NA,0,0,0,29,"#B6838C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ASCHOFF J",3,1967,1995,29,1,0.103448275862069,NA,NA,0,0,0,-30,"#E3ABDA",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HEUSNER AA",1,1967,1967,1,2,1,NA,NA,0,0,0,31,"#4F329C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"CARD DH",1,1967,1967,1,2,1,NA,NA,0,0,0,-32,"#7772D5",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MENAKER M",42,1968,2013,46,3.19047619047619,0.91304347826087,1966,1983,18,3,0.166666666666667,33,"#754E21",10,1970,2013,44,22,0.5,10,1,3,24,2,1979,2014,36,15,0.416666666666667,0.357142857142857,0.456349206349206,1972,2009,38,13,0.342105263157895,0.37468671679198,0.30952380952381,28,23,13,10,0.769230769230769,9660,0.044489886150105
"HALABAN R",1,1968,1968,1,1,1,NA,NA,0,0,0,-34,"#29D2AC",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WILKINS MB",1,1968,1968,1,1,1,NA,NA,0,0,0,35,"#5B726E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MITCHELL RE JR",1,1968,1968,1,1,1,NA,NA,0,0,0,-36,"#8BA3DF",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"SOLLBERGER A",2,1968,1976,9,1,0.222222222222222,NA,NA,0,0,0,37,"#B07ED9",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"PENGELLEY ET",1,1968,1968,1,1,1,1970,1970,1,1,1,-38,"#CD7BBE",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"DELLA CORTE M",1,1968,1968,1,1,1,NA,NA,0,0,0,39,"#49088B",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"KLEIN E",1,1968,1968,1,1,1,NA,NA,0,0,0,-40,"#B7C954",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HARTMANN E",1,1968,1968,1,1,1,NA,NA,0,0,0,41,"#73A7A3",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"JENNER FA",1,1968,1968,1,1,1,NA,NA,0,0,0,-42,"#1D55C2",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HALBERG F",44,1969,2010,42,5.68181818181818,1.04761904761905,1973,2013,41,11,0.268292682926829,43,"#D9F435",5,1971,2009,39,13,0.333333333333333,5,0,8,7,1,1974,2013,40,25,0.625,0.568181818181818,0.596590909090909,1969,2010,42,26,0.619047619047619,0.590909090909091,0.590909090909091,51,40,21,19,0.904761904761905,8800,0.0405290888323938
"SAUNDERS DS",10,1969,2020,52,1.2,0.192307692307692,1969,2011,43,5,0.116279069767442,-44,"#BFEE46",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BARNETT A",1,1969,1969,1,1,1,NA,NA,0,0,0,45,"#B77A0D",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"MINIS DH",1,1969,1969,1,2,1,NA,NA,0,0,0,-46,"#5FD3FF",0,1969,1969,1,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"LUKE BM",1,1969,1969,1,2,1,NA,NA,0,0,0,47,"#682C8F",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"GUBSKII LV",1,1969,1969,1,2,1,NA,NA,0,0,0,-48,"#FBE0FE",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"REINBERG A",15,1969,2020,52,3.13333333333333,0.288461538461538,1971,2018,48,14,0.291666666666667,49,"#898209",2,1976,2020,45,5,0.111111111111111,2,0,7,5,1,1969,2017,49,16,0.326530612244898,1.06666666666667,1.13197278911565,1976,2020,45,7,0.155555555555556,0.539259259259259,0.466666666666667,23,23,8,15,1.875,690,0.00317784901072179
"WIERSMA CA",1,1969,1969,1,2,1,NA,NA,0,0,0,-50,"#BF69F5",1,1969,1969,1,1,1,1,0,5,2,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"SUTTON D",1,1969,1969,1,2,1,NA,NA,0,0,0,51,"#AA935D",0,1969,1969,1,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"CHÉRIÈ LIGNIÈRE G",1,1969,1969,1,3,1,NA,NA,0,0,0,-52,"#EDFB19",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"PASTRNÁK M",1,1969,1969,1,1,1,NA,NA,0,0,0,53,"#55179E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"GOODDY W",1,1969,1969,1,1,1,NA,NA,0,0,0,-54,"#174C60",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"CHEMIN P",2,1969,1970,2,1,1,NA,NA,0,0,0,55,"#8319E2",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"FUNCH RR",1,1969,1969,1,2,1,NA,NA,0,0,0,-56,"#A4E3DC",1,1969,1969,1,1,1,1,0,6,5,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"FUNCH R",1,1969,1969,1,2,1,NA,NA,0,0,0,57,"#254E13",0,1969,1969,1,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"EDMUNDS LN JR",9,1970,1999,30,2.11111111111111,0.3,1969,1992,24,6,0.25,-58,"#2B14A8",2,1985,1993,9,3,0.333333333333333,2,1,6,4,2,NA,NA,0,0,0,0,0,1985,1990,6,3,0.5,1.66666666666667,0.333333333333333,3,2,2,0,0,36,0.000165800817950702
"SOZINOV LA",1,1970,1970,1,2,1,NA,NA,0,0,0,59,"#B9FFDE",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WINFREE AT",6,1970,2002,33,1,0.181818181818182,NA,NA,0,0,0,-60,"#1D2F6D",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HASTINGS JW",34,1970,2007,38,3.02941176470588,0.894736842105263,1970,1970,1,1,1,61,"#137DD1",4,1981,1998,18,16,0.888888888888889,4,0,9,10,1,1999,1999,1,1,1,0.0294117647058824,1.11764705882353,1974,1999,26,9,0.346153846153846,0.386877828054299,0.264705882352941,10,8,7,1,0.142857142857143,1088,0.00501086916473232
"HONDA Y",2,1970,2003,34,2,0.0588235294117647,NA,NA,0,0,0,-62,"#01B079",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"VAN LAAR W",1,1970,1970,1,1,1,NA,NA,0,0,0,63,"#C01362",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BRUCE VG",3,1970,1979,10,2.33333333333333,0.3,1960,1969,10,2,0.2,-64,"#08FE3B",0,1970,1970,1,1,1,0,1,1,1,2,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HILLMAN WS",3,1970,1976,7,1,0.428571428571429,NA,NA,0,0,0,65,"#29C00F",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"SALTZBERG B",1,1970,1970,1,1,1,NA,NA,0,0,0,-66,"#2E5166",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"DAL FABBRO G",1,1970,1970,1,1,1,NA,NA,0,0,0,67,"#889A95",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WURTMAN RJ",1,1970,1970,1,1,1,NA,NA,0,0,0,-68,"#4EA55D",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
